event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,23|1.131162847|5851482|None|BACK|1.23|2017-04-30T13:03:59.809000Z,23,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.230000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,23|1.131162847|5851482|None|BACK|1.23|2017-04-30T13:03:59.809000Z,23,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.230000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,908.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,24|1.131162847|5851482|None|BACK|1.24|2017-04-30T13:03:59.809000Z,24,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.240000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,24|1.131162847|5851482|None|BACK|1.24|2017-04-30T13:03:59.809000Z,24,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.240000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,904.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,25|1.131162847|5851482|None|BACK|1.25|2017-04-30T13:03:59.809000Z,25,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.250000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,25|1.131162847|5851482|None|BACK|1.25|2017-04-30T13:03:59.809000Z,25,OVER_UNDER_05,Over/Under 0.5 Goals,Under 0.5 Goals,BACK,1.250000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,900.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,26|1.131162723|1221385|None|BACK|1.01|2017-04-30T13:03:59.809000Z,26,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.010000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,26|1.131162723|1221385|None|BACK|1.01|2017-04-30T13:03:59.809000Z,26,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.010000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,896.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,27|1.131162723|1221385|None|BACK|1.02|2017-04-30T13:03:59.809000Z,27,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.020000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,27|1.131162723|1221385|None|BACK|1.02|2017-04-30T13:03:59.809000Z,27,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.020000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,892.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,28|1.131162723|1221385|None|BACK|1.03|2017-04-30T13:03:59.809000Z,28,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.030000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,28|1.131162723|1221385|None|BACK|1.03|2017-04-30T13:03:59.809000Z,28,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.030000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,888.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,29|1.131162723|1221385|None|BACK|1.04|2017-04-30T13:03:59.809000Z,29,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.040000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,29|1.131162723|1221385|None|BACK|1.04|2017-04-30T13:03:59.809000Z,29,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.040000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,884.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,30|1.131162723|1221385|None|BACK|1.05|2017-04-30T13:03:59.809000Z,30,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.050000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,30|1.131162723|1221385|None|BACK|1.05|2017-04-30T13:03:59.809000Z,30,OVER_UNDER_15,Over/Under 1.5 Goals,Under 1.5 Goals,BACK,1.050000,4.000000,0.000000,4.000000,0.000000,0.000000,open,4.000000,880.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
