event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,89|1.131162757|1222344|None|LAY|1.14|2017-04-30T13:03:59.809000Z,89,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.140000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,89|1.131162757|1222344|None|LAY|1.14|2017-04-30T13:03:59.809000Z,89,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.140000,4.000000,0.000000,4.000000,640.360000,640.360000,open,0.560000,956.800000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,90|1.131162757|1222344|None|LAY|1.15|2017-04-30T13:03:59.809000Z,90,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.150000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,90|1.131162757|1222344|None|LAY|1.15|2017-04-30T13:03:59.809000Z,90,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.150000,4.000000,0.000000,4.000000,640.360000,640.360000,open,0.600000,956.200000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,91|1.131162757|1222344|None|LAY|1.16|2017-04-30T13:03:59.809000Z,91,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.160000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,91|1.131162757|1222344|None|LAY|1.16|2017-04-30T13:03:59.809000Z,91,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.160000,4.000000,0.000000,4.000000,640.360000,640.360000,open,0.640000,955.560000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,92|1.131162757|1222344|None|LAY|1.17|2017-04-30T13:03:59.809000Z,92,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.170000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,92|1.131162757|1222344|None|LAY|1.17|2017-04-30T13:03:59.809000Z,92,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.170000,4.000000,0.000000,4.000000,640.360000,640.360000,open,0.680000,954.880000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
REQUEST_PLACE,1493557440000,2017-04-30T13:04:00Z,93|1.131162757|1222344|None|LAY|1.18|2017-04-30T13:03:59.809000Z,93,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.180000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
PLACE,1493557440000,2017-04-30T13:04:00Z,93|1.131162757|1222344|None|LAY|1.18|2017-04-30T13:03:59.809000Z,93,OVER_UNDER_35,Over/Under 3.5 Goals,Under 3.5 Goals,LAY,1.180000,4.000000,0.000000,4.000000,640.360000,640.360000,open,0.720000,954.160000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=PREPLAY_SEED_GRID inplay=False place_delay_sec=0
