event,pt,utc,order_id,signal_id,market_type,market_name,runner_name,side,price,stake,matched,remaining,queue_ahead_initial,queue_ahead_remaining,status,liability,free_balance,queue_delta,matched_now,action_source,action_count,action_amount,pnl_v3,matched_fraction,exit_utc,exit_price,settlement,note
SETTLE,1493558803000,2017-04-30T13:26:43Z,13|1.131162719|47973|None|LAY|2|2017-04-30T13:26:22.371Z,13,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.000000,4.000000,4.000000,0.000000,0.000000,0.000000,settled,0.000000,992.006154,0.000000,0.000000,,0,0.000000,-0.153846,1.000000,2017-04-30T13:26:51.590000Z,2.080000,fallback_after_fill,settlement=fallback_after_fill
EXIT,1493558814250,2017-04-30T13:26:54.250000Z,13|1.131162806|47999|None|BACK|1.47|2017-04-30T13:26:21.700Z,13,MATCH_ODDS,Match Odds,Man City,BACK,1.470000,4.000000,4.000000,0.000000,1221.330000,0.000000,exited,4.000000,992.160000,0.000000,0.000000,,0,0.000000,0.388060,1.000000,2017-04-30T13:26:54.236000Z,1.34,proxy_proportional,exit_matched_part
SETTLE,1493558814250,2017-04-30T13:26:54.250000Z,13|1.131162806|47999|None|BACK|1.47|2017-04-30T13:26:21.700Z,13,MATCH_ODDS,Match Odds,Man City,BACK,1.470000,4.000000,4.000000,0.000000,1221.330000,0.000000,settled,0.000000,992.548060,0.000000,0.000000,,0,0.000000,0.388060,1.000000,2017-04-30T13:26:54.236000Z,1.34,proxy_proportional,settlement=proxy_proportional
REQUEST_CANCEL,1493558815000,2017-04-30T13:26:55Z,13|1.131162723|1221386|None|LAY|1.32|2017-04-30T13:26:19.810Z,,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.320000,4.000000,0.000000,4.000000,3639.420000,3639.420000,requested_cancel,1.280000,992.160000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_CANCEL,1493558816000,2017-04-30T13:26:56Z,13|1.131162807|285470|-2.0|BACK|1.36|2017-04-30T13:26:20.794Z,,TOTAL_GOALS,Total Goals,2 goals or more,BACK,1.360000,4.000000,0.000000,4.000000,2042.180000,1958.070000,requested_cancel,4.000000,992.160000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_CANCEL,1493558816750,2017-04-30T13:26:56.750000Z,13|1.131162806|47999|None|LAY|1.32|2017-04-30T13:26:21.636Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.320000,4.000000,0.000000,4.000000,9466.340000,9203.900000,requested_cancel,1.280000,992.160000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_CANCEL,1493558819000,2017-04-30T13:26:59Z,13|1.131162807|285470|-2.0|LAY|1.32|2017-04-30T13:26:23.830Z,,TOTAL_GOALS,Total Goals,2 goals or more,LAY,1.320000,4.000000,0.000000,4.000000,2627.860000,2627.860000,requested_cancel,1.280000,992.160000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
CANCEL,1493558820000,2017-04-30T13:27:00Z,13|1.131162723|1221386|None|LAY|1.32|2017-04-30T13:26:19.810Z,,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.320000,4.000000,0.000000,0.000000,3639.420000,3639.420000,cancelled,1.280000,993.440000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
CANCEL,1493558821000,2017-04-30T13:27:01Z,13|1.131162807|285470|-2.0|BACK|1.36|2017-04-30T13:26:20.794Z,,TOTAL_GOALS,Total Goals,2 goals or more,BACK,1.360000,4.000000,0.000000,0.000000,2042.180000,0.000000,cancelled,4.000000,997.440000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
CANCEL,1493558821750,2017-04-30T13:27:01.750000Z,13|1.131162806|47999|None|LAY|1.32|2017-04-30T13:26:21.636Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.320000,4.000000,0.000000,0.000000,9466.340000,9203.900000,cancelled,1.280000,998.720000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
CANCEL,1493558824000,2017-04-30T13:27:04Z,13|1.131162807|285470|-2.0|LAY|1.32|2017-04-30T13:26:23.830Z,,TOTAL_GOALS,Total Goals,2 goals or more,LAY,1.320000,4.000000,0.000000,0.000000,2627.860000,2627.860000,cancelled,1.280000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_PLACE,1493558845000,2017-04-30T13:27:25Z,14|1.131162723|1221386|None|LAY|1.33|2017-04-30T13:27:24.791Z,14,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.330000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493558845000,2017-04-30T13:27:25Z,14|1.131162806|47999|None|LAY|1.33|2017-04-30T13:27:24.791Z,14,MATCH_ODDS,Match Odds,Man City,LAY,1.330000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493558845000,2017-04-30T13:27:25Z,14|1.131162806|47999|None|LAY|1.37|2017-04-30T13:27:24.912Z,14,MATCH_ODDS,Match Odds,Man City,LAY,1.370000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
REQUEST_PLACE,1493558845250,2017-04-30T13:27:25.250000Z,14|1.131162719|47973|None|LAY|2.02|2017-04-30T13:27:25.017Z,14,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.020000,4.000000,0.000000,4.000000,0.000000,0.000000,requested_place,0.000000,1000.000000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,requested_place phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558850000,2017-04-30T13:27:30Z,14|1.131162723|1221386|None|LAY|1.33|2017-04-30T13:27:24.791Z,14,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.330000,4.000000,0.000000,4.000000,3519.850000,3519.850000,open,1.320000,998.680000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558850000,2017-04-30T13:27:30Z,14|1.131162806|47999|None|LAY|1.33|2017-04-30T13:27:24.791Z,14,MATCH_ODDS,Match Odds,Man City,LAY,1.330000,4.000000,0.000000,4.000000,3527.530000,3527.530000,open,1.320000,997.360000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558850000,2017-04-30T13:27:30Z,14|1.131162806|47999|None|LAY|1.37|2017-04-30T13:27:24.912Z,14,MATCH_ODDS,Match Odds,Man City,LAY,1.370000,4.000000,0.000000,4.000000,6707.480000,6707.480000,open,1.480000,995.880000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
PLACE,1493558850250,2017-04-30T13:27:30.250000Z,14|1.131162719|47973|None|LAY|2.02|2017-04-30T13:27:25.017Z,14,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.020000,4.000000,0.000000,4.000000,667.020000,667.020000,open,4.080000,991.800000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,placed_after_delay phase=NORMAL_FIRST_HALF inplay=True place_delay_sec=5
FILL,1493558871000,2017-04-30T13:27:51Z,14|1.131162719|47973|None|LAY|2.02|2017-04-30T13:27:25.017Z,,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.020000,4.000000,4.000000,0.000000,667.020000,0.000000,filled,4.080000,995.880000,44.340000,4.000000,VISIBLE_REMOVE,1,44.340000,0.000000,0.000000,,,,action_log_consumption
EXIT,1493558871000,2017-04-30T13:27:51Z,14|1.131162719|47973|None|LAY|2.02|2017-04-30T13:27:25.017Z,14,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.020000,4.000000,4.000000,0.000000,667.020000,0.000000,exited,4.080000,995.880000,0.000000,0.000000,,0,0.000000,-0.188679,1.000000,2017-04-30T13:27:54.621000Z,2.120000,fallback_after_fill,fallback_exit_after_fill
SETTLE,1493558871000,2017-04-30T13:27:51Z,14|1.131162719|47973|None|LAY|2.02|2017-04-30T13:27:25.017Z,14,OVER_UNDER_25,Over/Under 2.5 Goals,Over 2.5 Goals,LAY,2.020000,4.000000,4.000000,0.000000,667.020000,0.000000,settled,0.000000,995.691321,0.000000,0.000000,,0,0.000000,-0.188679,1.000000,2017-04-30T13:27:54.621000Z,2.120000,fallback_after_fill,settlement=fallback_after_fill
REQUEST_CANCEL,1493558880000,2017-04-30T13:28:00Z,14|1.131162723|1221386|None|LAY|1.33|2017-04-30T13:27:24.791Z,,OVER_UNDER_15,Over/Under 1.5 Goals,Over 1.5 Goals,LAY,1.330000,4.000000,0.000000,4.000000,3519.850000,3035.420000,requested_cancel,1.320000,995.880000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_CANCEL,1493558880000,2017-04-30T13:28:00Z,14|1.131162806|47999|None|LAY|1.33|2017-04-30T13:27:24.791Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.330000,4.000000,0.000000,4.000000,3527.530000,3527.530000,requested_cancel,1.320000,995.880000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
REQUEST_CANCEL,1493558880000,2017-04-30T13:28:00Z,14|1.131162806|47999|None|LAY|1.37|2017-04-30T13:27:24.912Z,,MATCH_ODDS,Match Odds,Man City,LAY,1.370000,4.000000,0.000000,4.000000,6707.480000,4613.430000,requested_cancel,1.480000,995.880000,0.000000,0.000000,,0,0.000000,0.000000,0.000000,,,,fill_horizon_sec=30 cancel_delay_sec=5 inplay=True
